Application 1, Application 2, Application 3, Cores App 1, Cores App 2, Cores App 3, Parent Core App 1, Parent Core App 2, Parent Core App 3, Power Stripe 1, Power Stripe 2, Power Stripe 3, Power Stripe 4, Ratio App 1, Avg. Ratio 1, Time App 1, Avg. Time 1, Ratio App 2, Avg. Ratio 2, Time App 2, Avg. Time 2, Ratio App 3, Avg. Ratio 3, Time App 3, Avg. Time 3 
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,535,518,613,518,[0.603 0.576 0.55 0.005],0.4335,[241963 253246 264836 286865],261727,[0.647 0.524 0.398 0.319],0.472,[22242 27397 36101 45048],32697,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,550,549,614,523,[0.602 0.576 0.551 0.005],0.4335,[241874 253371 264839 286956],261760,[0.646 0.526 0.398 0.319],0.47225,[22243 27401 36122 44991],32689,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,520,564,619,520,[0.603 0.576 0.55 0.005],0.4335,[242074 253246 264734 286971],261756,[0.646 0.525 0.398 0.319],0.472,[22239 27362 36112 45055],32692,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,518,555,631,536,[0.602 0.576 0.551 0.005],0.4335,[241956 253166 264843 286871],261709,[0.646 0.525 0.398 0.319],0.472,[22242 27406 36139 45063],32712,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,540,575,666,517,[0.603 0.575 0.551 0.005],0.4335,[242067 253248 264831 287048],261798,[0.646 0.525 0.398 0.319],0.472,[22247 27382 36113 45046],32697,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,542,536,654,524,[0.602 0.576 0.551 0.005],0.4335,[241978 253147 264732 286772],261657,[0.646 0.525 0.398 0.319],0.472,[22243 27379 36107 45063],32698,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,554,535,652,558,[0.602 0.576 0.55 0.005],0.43325,[242160 253135 264750 286949],261748,[0.646 0.525 0.398 0.319],0.472,[22258 27377 36138 44983],32689,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,554,543,659,544,[0.602 0.575 0.551 0.005],0.43325,[242076 253242 264759 286855],261733,[0.646 0.525 0.398 0.319],0.472,[22248 27408 36113 45055],32706,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,547,545,652,555,[0.603 0.576 0.551 0.005],0.43375,[241955 253340 264733 286865],261723,[0.646 0.525 0.398 0.319],0.472,[22237 27363 36124 45063],32696,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,557,592,636,500,[0.603 0.575 0.551 0.005],0.4335,[241976 253159 264734 286848],261679,[0.646 0.524 0.398 0.319],0.47175,[22253 27394 36123 44998],32692,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,543,548,665,515,[0.602 0.575 0.55 0.005],0.433,[242072 253228 264535 286856],261672,[0.646 0.525 0.398 0.319],0.472,[22242 27391 36135 45071],32709,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,568,564,636,570,[0.602 0.576 0.551 0.005],0.4335,[242176 253237 264733 286952],261774,[0.646 0.525 0.398 0.319],0.472,[22242 27378 36123 44986],32682,,,,

blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,561,562,651,544,[145914 125621 125619 1695],99712,[242058 253050 264734 286773],261653,[646 525 398 319],472,[22248 27407 36124 45067],32711,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,512,584,632,527,[145916 125623 125617 1695],99712,[241969 253159 264739 286776],261660,[646 525 398 319],472,[22241 27380 36138 44999],32689,,,,

blur,sobel,,[24 25 26 27],[24 25 26 27],,20,22,,570,534,675,533,[145907 125625 125634 1695],99715,[213632 225214 236579 259105],233632,[518 393 362 320],398,[27720 36545 39722 44828],37203,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,20,22,,573,533,696,545,[145920 125622 125634 1694],99717,[213583 225004 236618 258881],233521,[519 393 362 320],398,[27714 36575 39709 44914],37228,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,20,22,,523,596,712,522,[145915 125630 125635 1694],99718,[213578 225127 236710 259003],233604,[518 392 362 320],398,[27734 36526 39689 44894],37210,,,,


blur,,,[24 25 26 27],,,22,,,536,562,671,529,[125632 145892 145895 1695],104778,[221960 232250 242468 264458],240284,,,,,,,,
blur,,,[24 25 26 27],,,22,,,547,530,683,544,[125632 145900 145894 1695],104780,[221953 232318 242586 264458],240328,,,,,,,,
blur,,,[24 25 26 27],,,22,,,520,538,693,538,[125632 145896 145897 1695],104780,[221977 232126 242337 264566],240251,,,,,,,,
blur,,,[24 25 26 27],,,22,,,541,551,647,541,[125632 145895 145892 1695],104778,[221860 232142 242375 264493],240217,,,,,,,,
blur,,,[24 25 26 27],,,22,,,529,559,654,511,[125632 145895 145893 1694],104778,[221890 232044 242353 264361],240162,,,,,,,,
blur,,,[24 25 26 27],,,22,,,542,586,630,551,[125632 145895 145894 1695],104779,[222090 232243 242480 264359],240293,,,,,,,,
blur,,,[24 25 26 27],,,22,,,539,567,644,536,[125632 145900 145894 1694],104780,[221887 232150 242488 264452],240244,,,,,,,,
blur,,,[24 25 26 27],,,22,,,549,538,679,527,[125632 145895 145896 1695],104779,[221858 232140 242343 264482],240205,,,,,,,,
blur,,,[24 25 26 27],,,22,,,535,570,643,547,[125632 145898 145892 1695],104779,[221859 232257 242441 264483],240260,,,,,,,,
blur,,,[24 25 26 27],,,22,,,520,537,645,516,[125632 145895 145894 1695],104779,[221859 232042 242456 264280],240159,,,,,,,,
blur,,,[24 25 26 27],,,22,,,550,562,669,536,[125632 145895 145894 1694],104778,[221686 232225 242580 264488],240244,,,,,,,,
blur,,,[24 25 26 27],,,22,,,496,545,643,528,[125632 145892 145896 1695],104778,[221960 232255 242276 264386],240219,,,,,,,,
blur,,,[24 25 26 27],,,22,,,560,581,653,528,[125632 145896 145894 1694],104779,[221966 232044 242457 264395],240215,,,,,,,,
blur,,,[24 25 26 27],,,22,,,578,539,682,540,[125632 145894 145898 1694],104779,[221987 232317 242453 264394],240287,,,,,,,,
