Application 1, Application 2, Application 3, Cores App 1, Cores App 2, Cores App 3, Parent Core App 1, Parent Core App 2, Parent Core App 3, Power Stripe 1, Power Stripe 2, Power Stripe 3, Power Stripe 4, Ratio App 1, Avg. Ratio 1, Time App 1, Avg. Time 1, Ratio App 2, Avg. Ratio 2, Time App 2, Avg. Time 2, Ratio App 3, Avg. Ratio 3, Time App 3, Avg. Time 3 
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,668,631,445,245,[0.541 0.518 0.496 0.006],0.39025,[231918 242205 252989 275069],250545,[0.623 0.497 0.374 0.299],0.44825,[23019 28935 38399 48060],34603,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,597,591,436,245,[0.541 0.518 0.496 0.006],0.39025,[231955 242525 252876 275087],250610,[0.625 0.497 0.374 0.3],0.449,[23019 28914 38348 47907],34547,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,615,610,438,240,[0.541 0.518 0.496 0.006],0.39025,[231960 242343 252851 275083],250559,[0.625 0.497 0.374 0.299],0.44875,[23083 28937 38345 48074],34609,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,554,648,448,228,[0.54 0.517 0.496 0.006],0.38975,[231960 242402 252898 274886],250536,[0.624 0.497 0.374 0.299],0.4485,[23013 28901 38347 47957],34554,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,587,625,452,230,[0.541 0.517 0.496 0.006],0.39,[231839 242241 252760 274823],250415,[0.623 0.497 0.374 0.3],0.4485,[23085 28938 38398 47966],34596,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,637,621,436,237,[0.541 0.518 0.496 0.006],0.39025,[231850 242098 252831 274948],250431,[0.623 0.498 0.374 0.298],0.44825,[23077 28940 38399 48084],34625,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,662,642,453,239,[0.541 0.518 0.496 0.006],0.39025,[231938 242353 252933 274872],250524,[0.625 0.497 0.374 0.3],0.449,[23085 28878 38339 47864],34541,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,572,609,461,238,[0.541 0.518 0.496 0.006],0.39025,[232145 242488 252957 274757],250586,[0.623 0.497 0.375 0.3],0.44875,[23010 28936 38384 47978],34577,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,633,610,447,237,[0.541 0.518 0.496 0.006],0.39025,[232014 242507 252882 274715],250529,[0.623 0.498 0.375 0.299],0.44875,[23086 28898 38397 48112],34623,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,623,573,431,236,[0.541 0.518 0.496 0.006],0.39025,[232032 242437 252796 275185],250612,[0.625 0.497 0.374 0.299],0.44875,[23073 28948 38280 47906],34551,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,615,527,431,235,[0.541 0.518 0.496 0.006],0.39025,[232096 242541 252753 274939],250582,[0.623 0.497 0.375 0.298],0.44825,[23029 28953 38401 47967],34587,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,634,531,432,231,[0.541 0.518 0.496 0.006],0.39025,[232152 242184 252767 275028],250532,[0.624 0.497 0.374 0.3],0.44875,[23034 28875 38413 47947],34567,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,650,555,455,240,[0.541 0.518 0.496 0.006],0.39025,[232095 242249 252790 274963],250524,[0.624 0.497 0.375 0.3],0.449,[23092 28882 38406 47972],34588,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,643,580,434,235,[0.541 0.518 0.496 0.006],0.39025,[232132 242338 252862 275023],250588,[0.623 0.497 0.375 0.3],0.44875,[23082 28932 38328 48087],34607,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,590,582,456,218,[0.541 0.517 0.496 0.006],0.39,[231996 242311 252920 274876],250525,[0.625 0.497 0.375 0.299],0.449,[23082 28905 38352 48097],34609,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,635,558,427,239,[0.541 0.518 0.497 0.006],0.3905,[232016 242219 252846 274813],250473,[0.624 0.498 0.375 0.299],0.449,[23088 28953 38402 47930],34593,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,616,601,439,230,[0.541 0.518 0.496 0.006],0.39025,[231988 242562 252919 275021],250622,[0.623 0.497 0.374 0.3],0.4485,[23032 28895 38345 48121],34598,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,613,540,439,231,[0.541 0.518 0.497 0.006],0.3905,[232069 242435 253055 274743],250575,[0.624 0.497 0.375 0.3],0.449,[23079 28952 38416 48086],34633,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,634,608,444,229,[0.541 0.518 0.497 0.006],0.3905,[231995 242407 252903 274710],250503,[0.623 0.497 0.374 0.3],0.4485,[23078 28878 38410 47960],34581,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,664,521,441,241,[0.541 0.518 0.496 0.006],0.39025,[231843 242388 252742 274844],250454,[0.623 0.498 0.374 0.299],0.4485,[23041 28896 38383 48097],34604,,,,
