Application 1, Application 2, Application 3, Cores App 1, Cores App 2, Cores App 3, Parent Core App 1, Parent Core App 2, Parent Core App 3, Power Stripe 1, Power Stripe 2, Power Stripe 3, Power Stripe 4, Ratio App 1, Avg. Ratio 1, Time App 1, Avg. Time 1, Ratio App 2, Avg. Ratio 2, Time App 2, Avg. Time 2, Ratio App 3, Avg. Ratio 3, Time App 3, Avg. Time 3 
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,565,546,659,553,[0.602 0.575 0.551 0.005],0.43325,[241878 253062 264841 287064],261711,[0.646 0.525 0.398 0.319],0.472,[22244 27379 36120 45046],32697,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,532,537,690,548,[0.603 0.576 0.551 0.005],0.43375,[241877 253061 264554 286955],261611,[0.646 0.525 0.398 0.319],0.472,[22246 27407 36120 45076],32712,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,540,560,636,554,[0.602 0.576 0.551 0.005],0.4335,[242076 253340 264562 286954],261733,[0.646 0.525 0.398 0.319],0.472,[22251 27365 36120 45010],32686,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,526,590,638,528,[0.602 0.576 0.551 0.005],0.4335,[241963 253346 264748 286662],261679,[0.646 0.525 0.398 0.319],0.472,[22244 27380 36126 45046],32699,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,540,574,658,548,[0.603 0.576 0.55 0.005],0.4335,[241883 253174 264642 286964],261665,[0.646 0.525 0.398 0.319],0.472,[22243 27409 36136 45076],32716,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,545,549,667,510,[0.602 0.576 0.55 0.005],0.43325,[242071 253353 264842 286770],261759,[0.646 0.525 0.398 0.319],0.472,[22245 27365 36137 45061],32702,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,541,563,655,555,[0.603 0.575 0.551 0.005],0.4335,[241782 253342 264842 286771],261684,[0.646 0.524 0.398 0.319],0.47175,[22242 27409 36111 44979],32685,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,549,538,646,535,[0.603 0.576 0.55 0.005],0.4335,[241972 253150 264765 286771],261664,[0.646 0.525 0.398 0.319],0.472,[22251 27381 36138 45075],32711,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,563,540,683,545,[0.602 0.576 0.551 0.005],0.4335,[241874 253136 264660 286851],261630,[0.646 0.525 0.398 0.319],0.472,[22241 27408 36112 45058],32704,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,551,569,606,528,[0.603 0.575 0.55 0.005],0.43325,[241870 253355 264775 286954],261738,[0.646 0.524 0.398 0.319],0.47175,[22257 27407 36133 45049],32711,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,570,571,639,553,[0.603 0.575 0.551 0.005],0.4335,[242061 253058 264739 286762],261655,[0.646 0.524 0.398 0.319],0.47175,[22253 27376 36137 44981],32686,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,585,547,603,555,[0.602 0.576 0.551 0.005],0.4335,[241879 253345 264834 286748],261701,[0.646 0.525 0.398 0.319],0.472,[22258 27378 36113 45092],32710,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,539,558,649,537,[0.602 0.576 0.551 0.005],0.4335,[242074 253346 264846 286864],261782,[0.646 0.525 0.398 0.319],0.472,[22259 27407 36141 45076],32720,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,539,545,646,579,[0.603 0.576 0.551 0.005],0.43375,[241886 253154 264730 286761],261632,[0.646 0.525 0.398 0.319],0.472,[22259 27379 36119 45057],32703,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,532,541,646,545,[0.603 0.576 0.55 0.005],0.4335,[241980 253128 264947 286955],261752,[0.646 0.525 0.398 0.319],0.472,[22248 27399 36110 45046],32700,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,557,581,659,519,[0.602 0.575 0.551 0.005],0.43325,[241851 253357 264740 286776],261681,[0.646 0.525 0.398 0.319],0.472,[22242 27405 36137 45055],32709,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,564,541,661,538,[0.602 0.575 0.55 0.005],0.433,[242178 253346 264733 286866],261780,[0.646 0.525 0.398 0.319],0.472,[22244 27396 36103 45066],32702,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,532,540,640,524,[0.602 0.576 0.551 0.005],0.4335,[241943 253249 264646 286957],261698,[0.646 0.525 0.398 0.319],0.472,[22237 27381 36137 45068],32705,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,549,541,624,548,[0.602 0.575 0.551 0.005],0.43325,[241877 253343 264661 286746],261656,[0.646 0.525 0.398 0.319],0.472,[22258 27409 36117 45073],32714,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,570,572,632,540,[0.603 0.575 0.551 0.005],0.4335,[242054 253351 264751 286759],261728,[0.646 0.525 0.398 0.319],0.472,[22258 27366 36113 45024],32690,,,,
blur,sobel,,[24 25 26 27],[24 25 26 27],,22,20,,520,576,641,516,[0.603 0.576 0.551 0.005],0.43375,[241941 253337 264765 286760],261700,[0.646 0.525 0.398 0.319],0.472,[22242 27382 36138 45092],32713,,,,
